group,name,value
PoliticalDiscussion,kf0b08,22.0
PoliticalDiscussion,eanxda,11.0
PoliticalDiscussion,er5gnq,21.0
PoliticalDiscussion,kvlqre,9.0
PoliticalDiscussion,hwjkzg,14.0
PoliticalDiscussion,l1acwa,17.0
PoliticalDiscussion,h8yyrg,13.0
PoliticalDiscussion,iz3fnv,13.0
PoliticalDiscussion,ktlwuw,8.0
PoliticalDiscussion,cqjitc,14.0
PoliticalDiscussion,myze3t,23.0
PoliticalDiscussion,epepug,14.0
PoliticalDiscussion,l1yals,14.0
PoliticalDiscussion,megjrm,9.0
PoliticalDiscussion,eox36o,12.0
PoliticalDiscussion,k6r76n,10.0
PoliticalDiscussion,kak9s9,15.0
PoliticalDiscussion,jagt50,15.0
PoliticalDiscussion,kkwf8k,21.0
PoliticalDiscussion,hm021m,16.0
PoliticalDiscussion,iqu7q6,12.0
PoliticalDiscussion,jfh42v,15.0
PoliticalDiscussion,ehujhn,12.0
PoliticalDiscussion,g8bnpk,18.0
PoliticalDiscussion,ktp8l2,15.0
PoliticalDiscussion,lddjpj,19.0
PoliticalDiscussion,jjovwn,8.0
PoliticalDiscussion,jrz4ie,10.0
PoliticalDiscussion,kx86t8,7.0
PoliticalDiscussion,d09tba,19.0
PoliticalDiscussion,f7ffa3,19.0
PoliticalDiscussion,iwji99,15.0
PoliticalDiscussion,kalxhu,16.0
PoliticalDiscussion,jpr52i,18.0
PoliticalDiscussion,khphg8,16.0
PoliticalDiscussion,mxtqk5,21.0
PoliticalDiscussion,mxxsvw,17.0
PoliticalDiscussion,j1cfum,15.0
PoliticalDiscussion,jj1qx4,16.0
PoliticalDiscussion,ftbpki,18.0
PoliticalDiscussion,mh9hpi,17.0
PoliticalDiscussion,ggkwdd,21.0
PoliticalDiscussion,env7m7,16.0
PoliticalDiscussion,jl7kn4,22.0
PoliticalDiscussion,kwmtca,16.0
PoliticalDiscussion,myzbvj,13.0
PoliticalDiscussion,jkbck0,21.0
PoliticalDiscussion,lv0f6i,17.0
PoliticalDiscussion,n7mnqx,20.0
PoliticalDiscussion,gyj3p9,13.0
PoliticalDiscussion,lbwbe8,23.0
PoliticalDiscussion,lmmcg9,16.0
PoliticalDiscussion,ek8wxu,15.0
PoliticalDiscussion,mpsn4a,9.0
PoliticalDiscussion,ky67q1,15.0
PoliticalDiscussion,ku3xc7,19.0
PoliticalDiscussion,hdpiv7,13.0
PoliticalDiscussion,mkcdx1,17.0
PoliticalDiscussion,gxyrxj,20.0
PoliticalDiscussion,fec7r4,15.0
PoliticalDiscussion,nb6zaj,23.0
PoliticalDiscussion,lupcmh,18.0
PoliticalDiscussion,jbuwav,22.0
PoliticalDiscussion,l3fncp,21.0
PoliticalDiscussion,jlneag,15.0
PoliticalDiscussion,n8flnl,17.0
PoliticalDiscussion,cgybgv,20.0
PoliticalDiscussion,je5cvg,16.0
PoliticalDiscussion,o8e9iu,14.0
PoliticalDiscussion,edbxgg,10.0
PoliticalDiscussion,dew8vr,18.0
PoliticalDiscussion,gavle4,15.0
PoliticalDiscussion,i4i87h,16.0
PoliticalDiscussion,fypvxg,10.0
PoliticalDiscussion,hh3gfl,15.0
PoliticalDiscussion,i03uka,16.0
PoliticalDiscussion,jqijbs,17.0
PoliticalDiscussion,g7thlb,20.0
PoliticalDiscussion,o0jbiz,20.0
PoliticalDiscussion,j645ce,20.0
PoliticalDiscussion,ki845u,17.0
PoliticalDiscussion,l0okd9,16.0
PoliticalDiscussion,e0d5sk,23.0
PoliticalDiscussion,mpszc3,15.0
PoliticalDiscussion,jl7exc,21.0
PoliticalDiscussion,kifmtu,19.0
PoliticalDiscussion,lrmxli,19.0
PoliticalDiscussion,l28f4l,21.0
PoliticalDiscussion,i04gue,23.0
PoliticalDiscussion,f3ywpe,18.0
PoliticalDiscussion,k6a9h1,16.0
PoliticalDiscussion,ntpooj,16.0
PoliticalDiscussion,n4tknp,21.0
